Country,Year,WeekOfYear,WeekStartDate,ILI_Denominator00-04,ILI_Denominator05-14,ILI_Denominator15-64,ILI_Denominator65+,ILI_DenominatorNumberOfCases,ILI00-04,ILI05-14,ILI15-64,ILI65+,ILINumberOfCases,MaxTemp,MinTemp,AvgPrec
Ireland,2006,1,2006-01-02,10192,20183,97393,15999,143767,0,0,11,3,14,77.10204081632652,30.346938775510203,20.163265306122447
Ireland,2006,2,2006-01-09,9880,19565,94412,15510,139367,1,1,13,0,15,103.9795918367347,35.87755102040816,45.285714285714285
Ireland,2006,3,2006-01-16,9997,19798,95537,15694,141026,3,2,18,2,25,98.16326530612245,50.08163265306122,24.836734693877556
Ireland,2006,4,2006-01-23,9887,19579,94480,15521,139467,2,2,18,1,23,76.85714285714286,28.32653061224489,5.7142857142857135
Ireland,2006,5,2006-01-30,10312,20421,98545,16189,145467,0,4,18,2,24,81.44897959183673,25.836734693877553,7.408163265306123
Ireland,2006,6,2006-02-06,10312,20421,98545,16189,145467,0,11,32,0,43,92.0,34.59183673469388,22.3265306122449
Ireland,2006,7,2006-02-13,9877,19559,94385,15505,139326,3,14,51,2,70,95.08163265306123,35.857142857142854,37.69387755102041
Ireland,2006,8,2006-02-20,10043,19888,95970,15766,141667,1,12,44,2,59,76.65306122448979,25.95918367346939,9.306122448979592
Ireland,2006,9,2006-02-27,10397,20590,99358,16322,146667,4,13,55,2,74,68.73469387755102,-6.6734693877551035,16.877551020408163
Ireland,2006,10,2006-03-06,9880,19565,94412,15510,139367,5,30,74,6,115,106.57142857142857,39.285714285714285,57.224489795918366
Ireland,2006,11,2006-03-13,10397,20590,99358,16322,146667,2,18,41,1,62,85.16326530612244,43.83673469387755,19.346938775510203
Ireland,2006,12,2006-03-20,11068,21918,105767,17375,156128,4,12,56,2,74,93.02040816326532,39.204081632653065,38.38775510204082
Ireland,2006,13,2006-03-27,11177,22134,106810,17546,157667,3,6,49,7,65,116.59183673469386,58.122448979591844,41.387755102040806
Ireland,2006,14,2006-04-03,11177,22134,106810,17546,157667,1,10,27,1,39,106.38775510204083,28.612244897959187,18.081632653061224
Ireland,2006,15,2006-04-10,10865,21516,103829,17057,153267,0,2,8,1,11,121.99999999999999,53.51020408163265,24.020408163265312
Ireland,2006,16,2006-04-17,10645,21081,101729,16712,150167,0,0,8,3,11,130.44897959183672,59.57142857142857,21.836734693877553
Ireland,2006,17,2006-04-24,10794,21376,103152,16945,152267,0,0,10,4,14,133.53061224489798,63.673469387755105,17.612244897959183
Ireland,2006,18,2006-05-01,10656,21102,101831,16728,150317,0,0,4,0,4,139.3877551020408,70.08163265306123,39.51020408163265
Ireland,2006,19,2006-05-08,10645,21081,101729,16712,150167,1,0,0,1,2,155.77551020408163,75.85714285714286,32.16326530612245
Ireland,2006,20,2006-05-15,10943,21671,104574,17179,154367,0,2,1,0,3,146.12244897959184,88.57142857142857,55.10204081632653
Ireland,2006,21,2006-05-22,11000,21783,105116,17268,155167,0,0,3,1,4,144.34693877551018,75.67346938775509,27.571428571428566
Ireland,2006,22,2006-05-29,10905,21595,104209,17119,153828,0,0,2,2,4,172.57142857142858,77.10204081632652,6.469387755102042
Ireland,2006,23,2006-06-05,10373,20542,99127,16284,146326,0,0,2,0,2,207.30612244897955,111.93877551020408,9.142857142857142
Ireland,2006,24,2006-06-12,11177,22134,106810,17546,157667,1,1,3,0,5,180.0408163265306,105.30612244897961,23.163265306122447
Ireland,2006,25,2006-06-19,10834,21455,103532,17008,152829,0,1,1,0,2,169.59183673469389,105.3061224489796,16.510204081632654
Ireland,2006,26,2006-06-26,9210,18238,88010,14458,129916,0,0,2,0,2,191.55102040816323,115.61224489795917,19.816326530612248
Ireland,2006,27,2006-07-03,5508,10907,52634,52634,121683,1,0,0,0,1,191.91836734693877,123.95918367346938,26.346938775510203
Ireland,2006,28,2006-07-10,9981,19765,95377,15668,140791,0,0,2,0,2,200.08163265306123,112.85714285714288,8.326530612244898
Ireland,2006,29,2006-07-17,10930,21646,104452,17159,154187,0,0,0,0,0,226.65306122448982,137.6326530612245,13.775510204081632
Ireland,2006,30,2006-07-24,10670,21130,101966,16751,150517,0,0,1,0,1,208.26530612244898,140.57142857142858,40.204081632653065
Ireland,2006,31,2006-07-31,10954,21692,104676,17196,154518,0,0,2,0,2,196.67346938775512,133.24489795918367,24.163265306122447
Ireland,2006,32,2006-08-07,10330,20457,98717,16217,145721,0,0,1,0,1,182.69387755102042,117.77551020408164,13.959183673469388
Ireland,2006,33,2006-08-14,10056,19913,96093,15786,141848,0,0,4,1,5,184.20408163265304,121.55102040816327,37.0
Ireland,2006,34,2006-08-21,10005,19812,95605,15706,141128,0,0,3,0,3,185.9591836734694,118.26530612244899,22.061224489795915
Ireland,2006,35,2006-08-28,11177,22134,106810,17546,157667,0,0,2,0,2,183.55102040816328,118.18367346938773,50.183673469387756
Ireland,2006,36,2006-09-04,11177,22134,106810,17546,157667,1,1,3,0,5,188.6734693877551,117.95918367346938,25.551020408163264
Ireland,2006,37,2006-09-11,10752,21292,102745,16879,151668,0,1,4,0,5,183.55102040816328,115.77551020408164,25.32653061224489
Ireland,2006,38,2006-09-18,11177,22134,106810,17546,157667,0,0,2,0,2,175.55102040816323,111.71428571428571,80.97959183673468
Ireland,2006,39,2006-09-25,11177,22134,106810,17546,157667,1,0,8,0,9,168.6122448979592,104.71428571428571,44.6530612244898
Ireland,2006,40,2006-10-02,11480,21350,110405,17775,161010,1,1,2,0,4,153.3469387755102,93.59183673469387,42.95918367346938
Ireland,2006,41,2006-10-09,11730,21814,112805,18162,164511,0,1,11,2,14,159.28571428571428,95.63265306122447,23.387755102040813
Ireland,2006,42,2006-10-16,11730,21814,112805,18162,164511,0,1,4,0,5,146.22448979591837,96.73469387755101,39.57142857142857
Ireland,2006,43,2006-10-23,11723,21801,112737,18151,164412,0,0,11,0,11,139.12244897959187,75.85714285714286,60.0
Ireland,2006,44,2006-10-30,11730,21814,112805,18162,164511,0,0,4,2,6,122.28571428571429,53.53061224489795,15.73469387755102
Ireland,2006,45,2006-11-06,11730,21814,112805,18162,164511,2,0,6,0,8,123.75510204081634,59.34693877551022,26.489795918367346
Ireland,2006,46,2006-11-13,11444,21284,110062,17720,160510,0,0,9,1,10,98.48979591836735,47.387755102040806,76.42857142857143
Ireland,2006,47,2006-11-20,11260,20941,108291,17435,157927,3,0,9,1,13,103.16326530612243,46.183673469387756,60.244897959183675
Ireland,2006,48,2006-11-27,11566,21509,111228,17908,162211,1,0,12,0,13,110.28571428571429,58.367346938775505,77.79591836734694
Ireland,2006,49,2006-12-04,11494,21377,110542,17798,161211,0,0,7,0,7,99.53061224489797,46.91836734693878,66.02040816326532
Ireland,2006,50,2006-12-11,11730,21814,112805,18162,164511,2,1,9,1,13,96.81632653061224,48.69387755102041,59.18367346938775
Ireland,2006,51,2006-12-18,11730,21814,112805,18162,164511,0,1,13,2,16,77.53061224489795,25.571428571428573,10.755102040816325
Ireland,2006,52,2006-12-25,11730,21814,112805,18162,164511,0,1,19,1,21,96.60714285714286,53.07142857142857,46.80357142857143
Ireland,2007,1,2007-01-01,11587,21549,111434,17941,162511,1,1,22,0,24,100.5,53.517857142857146,40.785714285714285
Ireland,2007,2,2007-01-08,11730,21814,112805,18162,164511,1,2,19,0,22,107.44897959183675,51.3469387755102,41.93877551020408
Ireland,2007,3,2007-01-15,11730,21814,112805,18162,164511,0,1,27,1,29,94.83673469387755,35.3469387755102,52.244897959183675
Ireland,2007,4,2007-01-22,11730,21814,112805,18162,164511,2,0,33,2,37,78.93877551020408,21.79591836734694,12.36734693877551
Ireland,2007,5,2007-01-29,11558,21496,111158,17897,162109,4,6,55,2,67,95.59183673469389,37.55102040816327,9.469387755102039
Ireland,2007,6,2007-02-05,11531,21446,110899,17855,161731,1,8,70,7,86,75.9591836734694,13.285714285714286,38.775510204081634
Ireland,2007,7,2007-02-12,12031,22374,115699,18628,168732,9,14,86,5,114,95.61224489795919,30.979591836734695,35.04081632653062
